20250722 234400;23244.25;23244.25;23237.25;23238;104
20250722 234500;23238.5;23240.5;23236.5;23238.75;52
20250722 234600;23237.75;23242.75;23236.25;23236.5;146
20250722 234700;23236.75;23239.5;23236.25;23236.75;53
20250722 234800;23236;23242.25;23235;23240.75;60
20250722 234900;23240.5;23246.25;23238.5;23245;225
20250722 235000;23245;23246;23242.75;23244.75;105
20250722 235100;23245;23247.25;23244.5;23246.75;136
20250722 235200;23246;23253;23246;23253;168
20250722 235300;23253.25;23256;23251;23253;145
20250722 235400;23253;23256.25;23251.75;23255.5;96
20250722 235500;23255.75;23262.25;23254.75;23259.75;283
20250722 235600;23259.75;23261.5;23255.25;23261;177
20250722 235700;23261.5;23268;23260;23261.75;258
20250722 235800;23261.5;23265.25;23260;23265.25;90
20250722 235900;23264.5;23265.5;23262;23263.25;122
20250723 000000;23262.75;23264;23261;23261.75;118
20250723 000100;23261.75;23267;23252.5;23253.75;419
20250723 000200;23254.25;23257;23245.5;23249.25;215
20250723 000300;23249.25;23250.75;23245.5;23248.25;129
20250723 000400;23249;23249.75;23240.5;23244;175
20250723 000500;23244.5;23244.5;23238.75;23243.5;112
20250723 000600;23243.5;23243.5;23231;23234.75;252
20250723 000700;23234.75;23237.75;23230.75;23236;285
20250723 000800;23236;23240;23232.75;23240;100
20250723 000900;23239.25;23243.25;23238.5;23241.75;108
20250723 001000;23242.25;23244.5;23240.5;23242.25;97
20250723 001100;23242.25;23242.5;23232;23232.25;193
20250723 001200;23232.25;23233.5;23228.25;23229.5;261
20250723 001300;23228;23234.75;23225;23232.5;251
20250723 001400;23233;23235.75;23230.75;23234.25;87
20250723 001500;23233;23233.75;23223.25;23226.25;153
20250723 001600;23226.75;23228.25;23219.25;23220.25;316
20250723 001700;23219.5;23225.75;23218.75;23225;187
20250723 001800;23225.5;23228.5;23224;23225.75;119
20250723 001900;23225.75;23228.5;23222.25;23223.75;129
20250723 002000;23223.25;23224;23220.25;23220.75;128
20250723 002100;23220.5;23222.5;23219;23220;100
20250723 002200;23219.25;23223.25;23219;23222.25;149
20250723 002300;23221.5;23225.5;23220.75;23224.25;114
20250723 002400;23223.75;23223.75;23219.75;23220.75;116
20250723 002500;23221.5;23223.25;23219.75;23222;67
20250723 002600;23222;23225.5;23210.25;23211.25;379
20250723 002700;23212;23212.5;23207.25;23209.25;187
20250723 002800;23208.75;23211;23206;23209.75;135
20250723 002900;23208.75;23209.75;23206;23208;111
20250723 003000;23207.75;23210;23206.25;23208.75;96
20250723 003100;23209.25;23215.75;23208;23215.5;160
20250723 003200;23214.25;23217;23213;23213.75;112
20250723 003300;23214.25;23215.75;23212.75;23214.25;78
20250723 003400;23212.5;23212.75;23208;23212.75;165
20250723 003500;23211.75;23212.25;23207.75;23210.75;68
20250723 003600;23210;23211.75;23208.5;23211.5;48
20250723 003700;23212.25;23212.25;23208;23209.75;40
20250723 003800;23209.25;23215.5;23209.25;23213.25;103
20250723 003900;23213;23215.75;23212.5;23213.5;75
20250723 004000;23213.5;23214.25;23207;23207;104
20250723 004100;23207.75;23214.5;23207;23213.75;101
20250723 004200;23214.75;23216.25;23211.75;23212.75;93
20250723 004300;23212.75;23213.25;23203.75;23206.75;169
20250723 004400;23207.5;23210.5;23205.75;23210.5;71
20250723 004500;23210.5;23210.75;23207.25;23208.5;72
20250723 004600;23209.75;23215;23209.75;23215;106
20250723 004700;23215;23215.25;23211.5;23214;96
20250723 004800;23213.25;23214;23209;23214;89
20250723 004900;23214;23214;23211.75;23211.75;27
20250723 005000;23211.5;23215;23211.5;23213.75;34
20250723 005100;23213.5;23216;23212.25;23212.25;59
20250723 005200;23212;23212.25;23208;23209.5;72
20250723 005300;23209.75;23211.25;23208.5;23211;26
20250723 005400;23212;23212;23209.75;23211.75;25
20250723 005500;23211;23214;23210;23210;60
20250723 005600;23210.75;23213.75;23210;23210;34
20250723 005700;23210;23210;23206.75;23208.75;63
20250723 005800;23207.75;23209;23200.25;23200.25;150
20250723 005900;23200.5;23203;23200;23201.25;120
20250723 010000;23200.25;23205;23198.5;23204.5;147
20250723 010100;23203.75;23208.5;23200.25;23206.75;194
20250723 010200;23207.75;23208;23205.25;23207;46
20250723 010300;23207;23208.5;23204.25;23204.75;82
20250723 010400;23206;23207;23203.25;23203.25;36
20250723 010500;23203.5;23204.5;23198.75;23201.5;104
20250723 010600;23201.75;23202.75;23199;23202;74
20250723 010700;23201.75;23208.75;23201.25;23207.75;88
20250723 010800;23208.5;23211;23207.75;23208.25;68
20250723 010900;23208;23212.25;23207.25;23210.75;71
20250723 011000;23211;23212.5;23209.5;23210.25;50
20250723 011100;23209.5;23213;23209.5;23213;46
20250723 011200;23213.25;23221;23213.25;23220.25;163
20250723 011300;23219.75;23220.75;23216.5;23219.25;177
20250723 011400;23219.25;23220.25;23218.5;23219.75;71
20250723 011500;23219.25;23221.25;23217.75;23220.5;57
20250723 011600;23221.25;23226.25;23220.5;23224.75;190
20250723 011700;23225.25;23232;23224;23230.25;243
20250723 011800;23230.5;23233.25;23229.75;23232.25;92
20250723 011900;23232.5;23233;23228.75;23229;88
20250723 012000;23229.25;23231.25;23228.5;23228.75;123
