date,close,open,high,low
2024-01-01 17:00:00,18072.824552,18065.659431,18074.151427,18060.086559
2024-01-01 17:15:00,18080.785798,18072.824552,18084.766421,18072.559177
2024-01-01 17:30:00,18074.947551,18080.785798,18083.970297,18074.947551
2024-01-01 17:45:00,18076.805175,18074.682176,18078.397424,18074.416801
2024-01-01 18:00:00,18074.682176,18077.335925,18078.13205,18073.620677
2024-01-01 18:15:00,18066.455555,18074.682176,18075.743676,18065.128681
2024-01-01 18:30:00,18073.089927,18066.455555,18074.682176,18065.128681
2024-01-01 18:45:00,18074.151427,18073.355302,18075.212926,18071.497678
2024-01-01 19:00:00,18076.5398,18073.886052,18086.35867,18073.355302
2024-01-01 19:15:00,18076.5398,18076.805175,18084.235671,18073.886052
2024-01-01 19:30:00,18061.148058,18076.274425,18078.928174,18056.90206
2024-01-01 19:45:00,18060.882683,18061.413433,18069.374679,18060.086559
2024-01-01 20:00:00,18063.005682,18060.882683,18065.659431,18060.086559
2024-01-01 20:15:00,18057.698185,18063.536432,18063.536432,18056.37131
2024-01-01 20:30:00,18057.167435,18057.96356,18059.555809,18052.390687
2024-01-01 20:45:00,18054.248312,18057.167435,18057.698185,18046.55244
2024-01-01 21:00:00,18057.698185,18054.248312,18059.290434,18054.248312
2024-01-01 21:15:00,18055.044436,18057.698185,18058.228935,18050.267689
2024-01-01 21:30:00,18053.717562,18055.309811,18056.37131,18048.675439
2024-01-01 21:45:00,18053.452187,18053.717562,18055.840561,18047.879315
2024-01-01 22:00:00,18053.982937,18053.186812,18053.982937,18048.940814
2024-01-01 22:15:00,18053.717562,18054.248312,18054.779061,18051.329188
2024-01-01 22:30:00,18055.840561,18053.982937,18059.290434,18053.186812
2024-01-01 22:45:00,18053.717562,18055.309811,18057.698185,18053.452187
2024-01-01 23:00:00,18063.005682,18053.982937,18063.005682,18052.656062
2024-01-01 23:15:00,18063.536432,18062.740307,18065.659431,18058.759684
2024-01-01 23:30:00,18064.863306,18063.005682,18065.394056,18061.944183
2024-01-01 23:45:00,18064.332556,18064.863306,18065.659431,18062.740307
2024-01-02 00:00:00,18056.90206,18064.067182,18066.190181,18056.105936
2024-01-02 00:15:00,18058.228935,18056.90206,18059.290434,18055.840561
2024-01-02 00:30:00,18056.636685,18057.96356,18059.290434,18053.186812
2024-01-02 00:45:00,18050.267689,18056.90206,18060.351933,18048.675439
2024-01-02 01:00:00,18063.801807,18050.002314,18066.190181,18050.002314
2024-01-02 01:15:00,18066.455555,18063.801807,18070.170804,18063.005682
2024-01-02 01:30:00,18060.882683,18066.72093,18067.78243,18060.086559
2024-01-02 01:45:00,18063.801807,18061.148058,18066.455555,18057.96356
2024-01-02 02:00:00,18073.355302,18064.067182,18079.193549,18062.474932
2024-01-02 02:15:00,18080.255048,18072.559177,18082.112673,18069.374679
2024-01-02 02:30:00,18079.989674,18080.520423,18084.501046,18078.928174
2024-01-02 02:45:00,18074.416801,18079.724299,18079.724299,18072.824552
2024-01-02 03:00:00,18048.940814,18074.416801,18075.743676,18047.08319
2024-01-02 03:15:00,18051.063813,18049.471564,18051.329188,18043.633317
2024-01-02 03:30:00,18041.775693,18051.329188,18051.329188,18035.406696
2024-01-02 03:45:00,18039.652694,18041.510318,18045.225566,18032.752947
